Time: 13.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.81, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 12.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.85, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.81, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.51, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.51, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
